Car{horsepower=78, model='Bugatti BBUTSL', year=2013}
Car{horsepower=497, model='Rolls-Royce HC', year=1900}
Car{horsepower=236, model='Aston Martin QCKR', year=1898}
Car{horsepower=276, model='Chevrolet BSL', year=1984}
Car{horsepower=285, model='Infiniti S', year=1929}
Car{horsepower=284, model='Mitsubishi UZDDRECL', year=1910}
Car{horsepower=247, model='Mercedes-Benz QJXXQIEA', year=1939}
Car{horsepower=147, model='Maserati XIAJP', year=1940}
Car{horsepower=312, model='Ford Y', year=1971}
Car{horsepower=171, model='Rolls-Royce CYDFADQH', year=1958}
Car{horsepower=285, model='Honda TCBPJ', year=1962}
Car{horsepower=336, model='Mercedes-Benz RJ', year=1909}
Car{horsepower=342, model='Renault NAXZPZ', year=1950}
Car{horsepower=147, model='Mercedes-Benz QHUB', year=1972}
Car{horsepower=352, model='Toyota LZZ', year=1996}
Car{horsepower=394, model='Lexus WDNR', year=1996}
Car{horsepower=408, model='Volkswagen YKVOOWV', year=1965}
Car{horsepower=420, model='Chevrolet NZJADTZH', year=1932}
Car{horsepower=442, model='Maserati CAKZBVPA', year=2001}
Car{horsepower=55, model='Lexus XIPBIIE', year=2025}
