Car{horsepower=272 hp, model='Tesla FEZG', year=1985}
Car{horsepower=362 hp, model='Ford PLQA', year=1943}
Car{horsepower=125 hp, model='Audi RKQCLPIJ', year=1965}
Car{horsepower=286 hp, model='Buick CGLM', year=1903}
Car{horsepower=377 hp, model='Mitsubishi BT', year=1912}
Car{horsepower=383 hp, model='Audi H', year=1930}
Car{horsepower=470 hp, model='Audi OBMY', year=1911}
Car{horsepower=109 hp, model='Maserati JVIJGJ', year=1946}
Car{horsepower=472 hp, model='Mercedes-Benz DFJWTTRL', year=1974}
Car{horsepower=270 hp, model='Volkswagen ALYVJE', year=2020}
Car{horsepower=375 hp, model='Porsche Z', year=2023}
Car{horsepower=237 hp, model='Alfa Romeo GP', year=2008}
Car{horsepower=259 hp, model='Chevrolet PWMEJZ', year=1950}
Car{horsepower=239 hp, model='Daihatsu TYPFXOD', year=1979}
Car{horsepower=130 hp, model='Audi GG', year=1980}
Car{horsepower=249 hp, model='Aston Martin BOLRBABQ', year=1915}
Car{horsepower=455 hp, model='Subaru QBTMJ', year=1937}
Car{horsepower=179 hp, model='Mitsubishi LAPMFEKU', year=2019}
Car{horsepower=148 hp, model='Chrysler LN', year=1983}
Car{horsepower=245 hp, model='Nissan KONEOB', year=1927}
