Car{horsepower=218 hp, model='Citroen JBOKQSA', year=1894}
Car{horsepower=489 hp, model='Maserati N', year=1906}
Car{horsepower=306 hp, model='Chevrolet HZ', year=2000}
Car{horsepower=327 hp, model='Jaguar PBKFFN', year=1902}
Car{horsepower=255 hp, model='Jeep NQO', year=1962}
Car{horsepower=334 hp, model='Jaguar JFY', year=1952}
Car{horsepower=449 hp, model='Toyota O', year=1896}
Car{horsepower=377 hp, model='Ferrari QUG', year=2009}
Car{horsepower=351 hp, model='MG J', year=1958}
Car{horsepower=93 hp, model='Mitsubishi OAC', year=2002}
Car{horsepower=407 hp, model='Honda RFFNAXV', year=1956}
Car{horsepower=187 hp, model='Mazda SACPQGAL', year=1897}
Car{horsepower=137 hp, model='Subaru GTQEVPUH', year=1920}
Car{horsepower=407 hp, model='Buick JNHRPEPA', year=2011}
Car{horsepower=387 hp, model='Nissan ZBZKC', year=1957}
Car{horsepower=320 hp, model='Maserati EYE', year=1919}
Car{horsepower=296 hp, model='Dodge QNLWEEZ', year=1940}
Car{horsepower=424 hp, model='Subaru WUFMNO', year=2017}
Car{horsepower=129 hp, model='Lamborghini TIAEJADP', year=1898}
Car{horsepower=416 hp, model='Peugeot GATMTUZ', year=2004}
Car{horsepower=245 hp, model='Chevrolet UR', year=2002}
Car{horsepower=482 hp, model='Dodge CT', year=1969}
Car{horsepower=394 hp, model='Alfa Romeo MF', year=1985}
Car{horsepower=449 hp, model='Dodge ER', year=1975}
Car{horsepower=324 hp, model='Toyota UQHQHGZG', year=1986}
Car{horsepower=376 hp, model='Volkswagen ZGTWZSO', year=1946}
Car{horsepower=413 hp, model='Bugatti FX', year=1897}
Car{horsepower=406 hp, model='MG VAD', year=1998}
Car{horsepower=75 hp, model='Mercedes-Benz QQJHVC', year=1937}
Car{horsepower=257 hp, model='Suzuki GEUCLFUV', year=1995}
Car{horsepower=109 hp, model='Citroen OIJFBF', year=1966}
Car{horsepower=285 hp, model='Tesla SY', year=1908}
Car{horsepower=222 hp, model='Audi LWCO', year=1907}
Car{horsepower=450 hp, model='Rolls-Royce FZDKKO', year=1908}
Car{horsepower=109 hp, model='Audi IK', year=1943}
Car{horsepower=51 hp, model='Chevrolet SEYC', year=1969}
Car{horsepower=239 hp, model='Jaguar GVLR', year=1904}
Car{horsepower=330 hp, model='Tesla MKRDA', year=1988}
Car{horsepower=81 hp, model='Dodge FQYIND', year=2022}
Car{horsepower=65 hp, model='Mercedes-Benz VVIOLNUI', year=1954}
Car{horsepower=423 hp, model='Mercedes-Benz KAMLRQXP', year=1966}
Car{horsepower=329 hp, model='Lotus MDY', year=1967}
Car{horsepower=70 hp, model='Citroen KWYMTNAP', year=2009}
Car{horsepower=77 hp, model='Chrysler MQXEZN', year=2002}
Car{horsepower=425 hp, model='Bugatti F', year=1975}
Car{horsepower=265 hp, model='Porsche ZGRWS', year=2012}
Car{horsepower=320 hp, model='Lexus OTFYCD', year=1968}
Car{horsepower=230 hp, model='Bugatti PRTRDNF', year=1976}
Car{horsepower=240 hp, model='Ferrari KILL', year=1909}
Car{horsepower=466 hp, model='Suzuki OIUDUEE', year=1923}
